counter;duration in ms
1;70
2;45
3;37
4;26
5;26
6;24
7;22
8;22
9;44
10;42
11;42
12;21
13;27
14;24
15;23
16;22
17;22
18;22
19;22
20;22
21;21
22;26
23;23
24;22
25;21
26;21
27;21
28;21
29;21
30;21
31;25
32;22
33;23
34;22
35;22
36;25
37;22
38;23
39;23
40;25
41;23
42;22
43;22
44;21
45;24
46;23
47;23
48;22
49;27
50;22
51;22
52;23
53;23
54;22
55;21
56;22
57;20
58;38
59;40
60;24
61;21
62;21
63;23
64;23
65;23
66;23
67;22
68;23
69;24
70;20
71;23
72;21
73;21
74;21
75;21
76;23
77;23
78;24
79;22
80;28
81;22
82;22
83;21
84;22
85;24
86;23
87;22
88;22
89;23
90;22
91;27
92;22
93;22
94;23
95;21
96;24
97;20
98;20
99;21
100;24
101;19
102;24
103;23
104;21
105;23
106;22
107;24
108;26
109;22
110;22
111;22
112;21
113;23
114;23
115;19
116;20
117;21
118;20
119;26
120;22
121;25
122;22
123;24
124;22
125;25
126;22
127;22
128;22
129;22
130;25
131;22
132;21
133;20
134;19
135;21
136;22
137;20
138;22
139;22
140;21
141;22
142;21
143;21
144;22
145;21
146;20
147;24
148;23
149;22
150;20
151;20
152;21
153;23
154;22
155;22
156;21
157;20
158;22
159;23
160;21
161;21
162;18
163;21
164;24
165;22
166;22
167;21
168;21
169;20
170;24
171;21
172;22
173;20
174;19
175;22
176;23
177;22
178;22
179;21
180;21
181;22
182;20
183;23
184;21
185;20
186;19
187;25
188;21
189;22
190;22
191;20
192;21
193;22
194;22
195;22
196;20
197;19
198;21
199;26
200;20
201;22
202;19
203;22
204;21
205;23
206;22
207;22
208;23
209;20
210;20
211;22
212;20
213;21
214;22
215;19
216;20
217;24
218;21
219;19
220;23
221;20
222;25
223;22
224;20
225;20
226;21
227;21
228;25
229;22
230;20
231;22
232;20
233;18
234;24
235;21
236;23
237;19
238;21
239;21
240;25
241;24
242;21
243;21
244;22
245;18
246;23
247;22
248;21
249;22
250;22
251;26
252;21
253;21
254;20
255;18
256;20
257;24
258;22
259;22
260;23
261;21
262;21
263;24
264;21
265;21
266;19
267;22
268;22
269;27
270;22
271;21
272;18
273;21
274;25
275;20
276;22
277;21
278;21
279;21
280;21
281;21
282;20
283;21
284;21
285;23
286;25
287;20
288;21
289;21
290;22
291;20
292;22
293;18
294;21
295;20
296;21
297;22
298;25
299;21
300;22
301;21
302;20
303;20
304;22
305;22
306;20
307;21
308;20
309;24
310;19
311;24
312;21
313;19
314;21
315;23
316;20
317;22
318;20
319;21
320;22
321;23
322;20
323;20
324;19
325;22
326;20
327;22
328;21
329;20
330;22
331;22
332;22
333;23
334;21
335;21
336;19
337;21
338;20
339;23
340;22
341;22
342;20
343;21
344;22
345;23
346;21
347;20
348;21
349;19
350;22
351;22
352;21
353;20
354;21
355;19
356;20
357;23
358;19
359;21
360;20
361;20
362;21
363;23
364;21
365;19
366;20
367;21
368;21
369;23
370;20
371;21
372;20
373;20
374;21
375;23
376;20
377;21
378;19
379;22
380;20
381;18
382;21
383;21
384;20
385;20
386;22
387;21
388;19
389;22
390;20
391;20
392;19
393;20
394;24
395;19
396;20
397;19
398;20
399;20
400;23
401;22
402;23
403;22
404;20
405;19
406;23
407;21
408;20
409;20
410;19
411;22
412;22
413;21
414;20
415;20
416;22
417;21
418;23
419;21
420;22
421;21
422;21
423;21
424;21
425;21
426;19
427;18
428;19
429;20
430;22
431;19
432;21
433;20
434;18
435;20
436;18
437;24
438;20
439;21
440;21
441;19
442;20
443;22
444;21
445;20
446;19
447;19
448;21
449;22
450;19
451;20
452;20
453;19
454;20
455;23
456;20
457;22
458;19
459;20
460;21
461;18
462;18
463;18
464;20
465;20
466;21
467;20
468;22
469;20
470;19
471;21
472;19
473;20
474;20
475;20
476;19
477;20
478;20
479;21
480;24
481;22
482;21
483;22
484;19
485;18
486;20
487;19
488;20
489;20
490;19
491;19
492;21
493;25
494;22
495;18
496;19
497;20
498;19
499;24
500;20
501;20
502;19
503;20
504;20
505;22
506;20
507;20
508;19
509;21
510;20
511;20
512;21
513;20
514;18
515;21
516;22
517;21
518;20
519;20
520;22
521;21
522;20
523;18
524;25
525;19
526;19
527;21
528;19
529;19
530;22
531;22
532;20
533;20
534;18
535;19
536;21
537;19
538;20
539;20
540;20
541;20
542;19
543;23
544;20
545;19
546;21
547;21
548;22
549;23
550;20
551;20
552;20
553;20
554;22
555;22
556;22
557;20
558;19
559;20
560;20
561;18
562;19
563;20
564;20
565;22
566;21
567;19
568;23
569;20
570;19
571;19
572;19
573;18
574;23
575;20
576;20
577;19
578;19
579;19
580;19
581;22
582;19
583;20
584;19
585;19
586;21
587;23
588;18
589;19
590;18
591;19
592;20
593;20
594;22
595;18
596;19
597;20
598;19
599;19
600;22
601;20
602;18
603;19
604;20
605;20
606;18
607;22
608;21
609;21
610;20
611;19
612;18
613;19
614;20
615;18
616;20
617;20
618;18
619;19
620;20
621;18
622;20
623;18
624;19
625;19
626;18
627;21
628;19
629;17
630;18
631;19
632;19
633;19
634;22
635;18
636;19
637;22
638;20
639;20
640;21
641;24
642;20
643;18
644;19
645;18
646;18
647;22
648;20
649;21
650;19
651;21
652;19
653;19
654;22
655;20
656;21
657;18
658;21
659;20
660;23
661;19
662;19
663;20
664;20
665;19
666;18
667;20
668;18
669;19
670;17
671;19
672;21
673;22
674;20
675;19
676;19
677;20
678;19
679;18
680;23
681;20
682;19
683;17
684;20
685;19
686;20
687;20
688;20
689;19
690;19
691;20
692;19
693;21
694;19
695;19
696;18
697;20
698;21
699;19
700;22
701;19
702;19
703;19
704;18
705;19
706;21
707;22
708;20
709;21
710;20
711;20
712;19
713;22
714;19
715;20
716;19
717;19
718;19
719;19
720;22
721;20
722;19
723;19
724;19
725;19
726;20
727;24
728;21
729;19
730;19
731;19
732;19
733;20
734;18
735;19
736;18
737;19
738;19
739;20
740;23
741;20
742;19
743;20
744;18
745;19
746;18
747;21
748;19
749;19
750;19
751;19
752;18
753;18
754;23
755;21
756;20
757;17
758;19
759;17
760;19
761;22
762;18
763;19
764;19
765;18
766;18
767;17
768;22
769;17
770;17
771;17
772;18
773;19
774;17
775;21
776;19
777;23
778;18
779;20
780;18
781;16
782;22
783;17
784;17
785;16
786;19
787;18
788;20
789;16
790;18
791;18
792;19
793;20
794;19
795;21
796;20
797;19
798;18
799;18
800;20
801;19
802;21
803;19
804;19
805;18
806;21
807;20
808;19
809;22
810;18
811;19
812;18
813;18
814;17
815;17
816;21
817;18
818;18
819;19
820;19
821;19
822;19
823;22
824;19
825;19
826;18
827;20
828;18
829;19
830;23
831;20
832;18
833;19
834;18
835;18
836;18
837;19
838;18
839;19
840;19
841;17
842;18
843;16
844;22
845;19
846;19
847;18
848;18
849;18
850;18
851;20
852;18
853;20
854;18
855;18
856;19
857;19
858;23
859;18
860;17
861;19
862;18
863;18
864;17
865;22
866;19
867;18
868;19
869;18
870;18
871;17
872;20
873;19
874;18
875;19
876;19
877;19
878;19
879;20
880;17
881;18
882;18
883;20
884;18
885;19
886;21
887;17
888;17
889;17
890;18
891;17
892;18
893;19
894;17
895;19
896;18
897;18
898;17
899;19
900;17
901;17
902;18
903;18
904;18
905;18
906;19
907;18
908;18
909;18
910;18
911;18
912;17
913;17
914;17
915;20
916;19
917;17
918;17
919;18
920;17
921;17
922;20
923;17
924;19
925;20
926;18
927;19
928;18
929;21
930;17
931;17
932;18
933;19
934;17
935;18
936;18
937;20
938;19
939;17
940;17
941;18
942;18
943;18
944;17
945;19
946;18
947;17
948;17
949;17
950;17
951;19
952;17
953;17
954;17
955;17
956;18
957;18
958;21
959;18
960;17
961;16
962;16
963;17
964;16
965;18
966;18
967;18
968;17
969;16
970;17
971;17
972;17
973;21
974;17
975;15
976;18
977;17
978;18
979;17
980;20
981;17
982;16
983;18
984;20
985;18
986;18
987;18
988;20
989;17
990;18
991;18
992;17
993;17
994;17
995;19
996;17
997;19
998;16
999;16
1000;16
1001;17
1002;17
1003;20
1004;17
1005;17
1006;18
1007;16
1008;16
1009;16
1010;16
1011;16
1012;17
1013;17
1014;17
1015;18
1016;17
1017;17
1018;19
1019;16
1020;17
1021;16
1022;18
1023;17
1024;17
1025;17
1026;21
1027;16
1028;16
1029;18
1030;17
1031;17
1032;18
1033;20
1034;16
1035;15
1036;17
1037;17
1038;16
1039;17
1040;17
1041;20
1042;17
1043;16
1044;17
1045;17
1046;17
1047;17
1048;16
1049;20
1050;17
1051;17
1052;16
1053;15
1054;16
1055;16
1056;16
1057;16
1058;17
1059;17
1060;17
1061;16
1062;16
1063;15
1064;19
1065;17
1066;16
1067;18
1068;17
1069;16
1070;16
1071;16
1072;20
1073;18
1074;17
1075;16
1076;17
1077;19
1078;16
1079;18
1080;16
1081;16
1082;16
1083;16
1084;17
1085;16
1086;17
1087;22
1088;17
1089;16
1090;16
1091;17
1092;16
1093;16
1094;16
1095;19
1096;15
1097;15
1098;16
1099;17
1100;16
1101;16
1102;16
1103;21
1104;17
1105;17
1106;17
1107;16
1108;17
1109;17
1110;17
1111;15
1112;15
1113;17
1114;15
1115;16
1116;16
1117;15
1118;16
1119;15
1120;15
1121;16
1122;16
1123;17
1124;16
1125;17
1126;19
1127;15
1128;16
1129;16
1130;17
1131;17
1132;16
1133;16
1134;20
1135;17
1136;17
1137;17
1138;16
1139;16
1140;16
1141;15
1142;20
1143;16
1144;16
1145;16
1146;16
1147;18
1148;16
1149;17
1150;16
1151;15
1152;16
1153;16
1154;16
1155;16
1156;16
1157;18
1158;17
1159;16
1160
